3	1	289	36	13	33	239.554	97	0	1	2	1	0	1	90	172
3	1	118	13	18	50	239.554	97	1	1	1	1	0	0	98	178
4	1	179	51	18	38	239.554	97	0	1	0	1	0	0	89	170
5	1	279	5	14	39	239.554	97	0	1	2	1	1	0	68	168
5	1	289	36	13	33	239.554	97	0	1	2	1	0	1	90	172
6	1	179	51	18	38	239.554	97	0	1	0	1	0	0	89	170
6	1	361	52	3	28	239.554	97	0	1	1	1	0	4	80	172
6	1	260	50	11	36	239.554	97	0	1	4	1	0	0	65	168
2	1	155	12	14	34	239.554	97	0	1	2	1	0	0	95	196
2	1	235	11	14	37	239.554	97	0	3	1	0	0	1	88	172
2	1	260	50	11	36	239.554	97	0	1	4	1	0	0	65	168
3	1	260	50	11	36	239.554	97	0	1	4	1	0	0	65	168
4	1	260	50	11	36	239.554	97	0	1	4	1	0	0	65	168
4	1	179	51	18	38	239.554	97	0	1	0	1	0	0	89	170
4	1	179	51	18	38	239.554	97	0	1	0	1	0	0	89	170
6	1	246	25	16	41	239.554	97	0	1	0	1	0	0	67	170
6	1	179	51	18	38	239.554	97	0	1	0	1	0	0	89	170
2	1	179	51	18	38	239.554	97	0	1	0	1	0	0	89	170
5	1	189	29	13	33	239.554	97	0	1	2	0	0	2	69	167
4	1	248	25	14	47	205.917	92	0	1	2	0	0	1	86	165
4	1	330	16	4	28	205.917	92	0	2	0	0	0	0	84	182
2	1	179	51	18	38	205.917	92	0	1	0	1	0	0	89	170
2	1	361	52	3	28	205.917	92	0	1	1	1	0	4	80	172
6	1	260	50	11	36	205.917	92	0	1	4	1	0	0	65	168
2	1	289	36	13	33	205.917	92	0	1	2	1	0	1	90	172
2	1	361	52	3	28	205.917	92	0	1	1	1	0	4	80	172
3	1	289	36	13	33	205.917	92	0	1	2	1	0	1	90	172
4	1	157	27	6	29	205.917	92	0	1	0	1	1	0	75	185
4	1	289	36	13	33	205.917	92	0	1	2	1	0	1	90	172
6	1	179	51	18	38	205.917	92	0	1	0	1	0	0	89	170
2	1	179	51	18	38	205.917	92	0	1	0	1	0	0	89	170
5	1	235	29	12	48	205.917	92	0	1	1	0	1	5	88	163
5	1	235	11	14	37	205.917	92	0	3	1	0	0	1	88	172
2	1	235	29	12	48	205.917	92	0	1	1	0	1	5	88	163
2	1	179	51	18	38	205.917	92	0	1	0	1	0	0	89	170
2	1	361	52	3	28	205.917	92	0	1	1	1	0	4	80	172
3	1	289	36	13	33	205.917	92	0	1	2	1	0	1	90	172
5	1	291	50	12	32	205.917	92	0	1	0	1	0	0	65	169
6	1	235	29	12	48	205.917	92	0	1	1	0	1	5	88	163
6	1	260	50	11	36	205.917	92	0	1	4	1	0	0	65	168
3	1	184	42	7	27	241.476	92	0	1	0	0	0	0	58	167
2	1	118	10	10	37	241.476	92	0	1	0	0	0	0	83	172
3	1	179	51	18	38	241.476	92	0	1	0	1	0	0	89	170
3	1	235	20	13	43	241.476	92	0	1	1	1	0	0	106	167
4	1	155	12	14	34	241.476	92	0	1	2	1	0	0	95	196
2	1	118	10	10	37	241.476	92	0	1	0	0	0	0	83	172
3	1	179	51	18	38	241.476	92	0	1	0	1	0	0	89	170
5	1	291	31	12	40	241.476	92	0	1	1	1	0	1	73	171
6	1	260	50	11	36	241.476	92	0	1	4	1	0	0	65	168
2	4	291	31	12	40	241.476	92	0	1	1	1	0	1	73	171
2	4	260	50	11	36	241.476	92	1	1	4	1	0	0	65	168
2	4	225	26	9	28	241.476	92	1	1	1	0	0	2	69	169
3	4	225	26	9	28	241.476	92	0	1	1	0	0	2	69	169
3	4	118	10	10	37	241.476	92	0	1	0	0	0	0	83	172
3	4	289	36	13	33	241.476	92	1	1	2	1	0	1	90	172
3	4	118	13	18	50	241.476	92	1	1	1	1	0	0	98	178
4	4	225	26	9	28	241.476	92	0	1	1	0	0	2	69	169
4	4	179	51	18	38	241.476	92	0	1	0	1	0	0	89	170
4	4	369	17	12	31	241.476	92	1	1	3	1	0	0	70	169
6	4	248	25	14	47	241.476	92	0	1	2	0	0	1	86	165
6	4	179	51	18	38	241.476	92	0	1	0	1	0	0	89	170
6	4	260	50	11	36	241.476	92	0	1	4	1	0	0	65	168
3	4	179	51	18	38	253.465	93	0	1	0	1	0	0	89	170
3	4	118	10	10	37	253.465	93	0	1	0	0	0	0	83	172
4	4	118	13	18	50	253.465	93	1	1	1	1	0	0	98	178
5	4	179	26	9	30	253.465	93	0	3	0	0	0	0	56	171
6	4	179	51	18	38	253.465	93	0	1	0	1	0	0	89	170
6	4	225	26	9	28	253.465	93	0	1	1	0	0	2	69	169
3	4	118	10	10	37	253.465	93	0	1	0	0	0	0	83	172
4	4	225	26	9	28	253.465	93	0	1	1	0	0	2	69	169
4	4	248	25	14	47	253.465	93	0	1	2	0	0	1	86	165
5	4	291	31	12	40	253.465	93	0	1	1	1	0	1	73	171
4	4	179	51	18	38	253.465	93	0	1	0	1	0	0	89	170
4	4	225	26	9	28	253.465	93	0	1	1	0	0	2	69	169
5	4	260	50	11	36	253.465	93	0	1	4	1	0	0	65	168
3	4	291	31	12	40	253.465	93	0	1	1	1	0	1	73	171
3	4	225	26	9	28	253.465	93	0	1	1	0	0	2	69	169
4	4	289	36	13	33	253.465	93	0	1	2	1	0	1	90	172
6	4	361	52	3	28	253.465	93	0	1	1	1	0	4	80	172
6	4	260	50	11	36	253.465	93	0	1	4	1	0	0	65	168
5	4	179	51	18	38	306.345	93	0	1	0	1	0	0	89	170
4	4	225	26	9	28	306.345	93	0	1	1	0	0	2	69	169
5	4	179	51	18	38	306.345	93	0	1	0	1	0	0	89	170
